item_id,bio,critical,name,gender,life_status,type,tense,mm,list,match,bare,Unique_ID
2,Richard Nixon was an American politician. He died in New York.,"He*has appeared*in prominent*political debates*in the past,*supposedly.",Richard Nixon,male,dead,critical,PP,deadPP,1,no,appear,12111
2,Richard Nixon was an American politician. He died in New York.,"He*will appear*in prominent*political debates*in the future,*supposedly.",Richard Nixon,male,dead,critical,SF,deadSF,2,no,appear,12122
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,"He*has appeared*in prominent*political debates*in the past,*supposedly.",Justin Trudeau,male,living,critical,PP,livingPP,3,yes,appear,12013
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,"He*will appear*in prominent*political debates*in the future,*supposedly.",Justin Trudeau,male,living,critical,SF,livingSF,4,yes,appear,12024
3,Shakira is a Colombian singer. She lives in Barcelona.,"She*will appear*in popular*music videos*in the future,*supposedly.",Shakira,female,living,critical,SF,livingSF,1,yes,appear,13021
3,Shakira is a Colombian singer. She lives in Barcelona.,"She*has appeared*in popular*music videos*in the past,*supposedly.",Shakira,female,living,critical,PP,livingPP,2,yes,appear,13012
3,Whitney Houston was an American singer. She died in Beverly Hills.,"She*will appear*in popular*music videos*in the future,*supposedly.",Whitney Houston,female,dead,critical,SF,deadSF,3,no,appear,13123
3,Whitney Houston was an American singer. She died in Beverly Hills.,"She*has appeared*in popular*music videos*in the past,*supposedly.",Whitney Houston,female,dead,critical,PP,deadPP,4,no,appear,13114
10,Jimi Hendrix was an American musician. He died in London.,"He*has performed*in numerous*music festivals*in the past,*supposedly.",Jimi Hendrix,male,dead,critical,PP,deadPP,1,no,perform,110111
10,Jimi Hendrix was an American musician. He died in London.,"He*will perform*in numerous*music festivals*in the future,*supposedly.",Jimi Hendrix,male,dead,critical,SF,deadSF,2,no,perform,110122
10,Elton John is an English musician. He lives in Windsor.,"He*has performed*in numerous*music festivals*in the past,*supposedly.",Elton John,male,living,critical,PP,livingPP,3,yes,perform,110013
10,Elton John is an English musician. He lives in Windsor.,"He*will perform*in numerous*music festivals*in the future,*supposedly.",Elton John,male,living,critical,SF,livingSF,4,yes,perform,110024
13,Beyoncé is an American singer. She lives in Los Angeles.,"She*has performed*in prestigious*arenas*in the past,*supposedly.",Beyoncé,female,living,critical,PP,livingPP,1,yes,perform,113011
13,Beyoncé is an American singer. She lives in Los Angeles.,"She*will perform*in prestigious*arenas*in the future,*supposedly.",Beyoncé,female,living,critical,SF,livingSF,2,yes,perform,113022
13,Amy Winehouse was a British singer. She died in London.,"She*has performed*in prestigious*arenas*in the past,*supposedly.",Amy Winehouse,female,dead,critical,PP,deadPP,3,no,perform,113113
13,Amy Winehouse was a British singer. She died in London.,"She*will perform*in prestigious*arenas*in the future,*supposedly.",Amy Winehouse,female,dead,critical,SF,deadSF,4,no,perform,113124
22,David Bowie was a British singer. He died in New York.,"He*has played*numerous*concerts*in the past,*so it's said.",David Bowie,male,dead,critical,PP,deadPP,1,no,play,122111
22,David Bowie was a British singer. He died in New York.,"He*will play*numerous*concerts*in the future,*so it's said.",David Bowie,male,dead,critical,SF,deadSF,2,no,play,122122
22,Mick Jagger is a British singer. He lives in London.,"He*has played*numerous*concerts*in the past,*so it's said.",Mick Jagger,male,living,critical,PP,livingPP,3,yes,play,122013
22,Mick Jagger is a British singer. He lives in London.,"He*will play*numerous*concerts*in the future,*so it's said.",Mick Jagger,male,living,critical,SF,livingSF,4,yes,play,122024
23,Janet Jackson is an American singer. She lives in Los Angeles.,"She*will play*in numerous*packed arenas*in the future,*so it's said.",Janet Jackson,female,living,critical,SF,livingSF,1,yes,play,123021
23,Janet Jackson is an American singer. She lives in Los Angeles.,"She*has played*in numerous*packed arenas*in the past,*so it's said.",Janet Jackson,female,living,critical,PP,livingPP,2,yes,play,123012
23,Janis Joplin was an American singer. She died in Los Angeles.,"She*will play*in numerous*packed arenas*in the future,*so it's said.",Janis Joplin,female,dead,critical,SF,deadSF,3,no,play,123123
